Anglais	Français	Kabyle	URL-Audio	URL-Image
Fire truck	Camion de pompier	Akamyun n yimsexsiyen	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/akam.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/vehicles/fire truck.jpg 
Sun	Soleil	Iṭij	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/itij.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/weather/sun.jpg 
Cloud	Nuage	Asigna	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/asigna.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/weather/cloud2.jpg 
Snow	Neige	Adfel	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/adfel.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/weather/snow.jpg 
Umbrella	Parapluie	Ssiwan	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/ssiwan.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/weather/umbrella.jpg 
Haze	Brume	Tagut	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tagut.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/weather/haze2.jpg 
Book	Livre	Adlis	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/adlis.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/school/Book2.jpg 
Backpack	Sac à dos	Aqrab n uɛrur	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aqrab_n.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/school/backpack.jpg 
Earth globe	Globe terrestre	Takurt n Wakal	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/takurt_nwakal.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/school/globe.jpg 
Scissors	Ciseaux	Timqestin	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/timqestin.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/school/scissors.jpg 
Art	Art	Taẓuri	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tazuri.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/school/art4.jpg 
Chair	Chaise	Akersi	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/akersi.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Athome/chair.jpg 
Television	Télévision	Tilivizyu	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tilivizyu.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Athome/television.jpg 
Window	Fenêtre	Ṭṭaq	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/ttaq.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Athome/window.jpg 
Clock	Horloge	Tamrilt	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/tamrilt.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Athome/clock.jpg 
Bowl	Bol	Aqedduḥ	https://d27s18bdmp7aby.cloudfront.net/pistes_maternelle/aqedduh.mp3	https://d27s18bdmp7aby.cloudfront.net/images_jeu/Inthekitchen/bowl.jpg 
				
